price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11
0.06046875,0.0604965281,0.04203125,0.02953125,0.04953125,0.0530208333,0.03890625,0.04140625,0.02890625,0.02484375,0.038984375
0.06046875,0.0603125,0.04515625,0.04671875,0.04953125,0.0478125,0.04578125,0.02796875,0.04296875,0.04203125,0.038984375
0.06046875,0.0603125,0.04515625,0.04671875,0.03734375,0.0530208333,0.04578125,0.04140625,0.048125,0.03265625,0.038984375
0.06046875,0.0603125,0.04984375,0.03734375,0.04953125,0.0530208333,0.04578125,0.04140625,0.04234375,0.03265625,0.038984375
0.06046875,0.0603125,0.04359375,0.03109375,0.04953125,0.0530208333,0.0466478701,0.04140625,0.04234375,0.03265625,0.038203125
0.06046875,0.0603125,0.04359375,0.04671875,0.04953125,0.0530208333,0.0464564257,0.03578125,0.04234375,0.02953125,0.038203125
0.05140625,0.0603125,0.04359375,0.04671875,0.04953125,0.0530208333,0.04796875,0.03578125,0.03109375,0.02953125,0.038984375
0.05140625,0.0603125,0.04984375,0.04671875,0.03421875,0.0530208333,0.04796875,0.03578125,0.03109375,0.02953125,0.038984375
0.05140625,0.0603125,0.04984375,0.03734375,0.04953125,0.0530208333,0.04796875,0.03828125,0.048125,0.02796875,0.035078125
0.05140625,0.0603125,0.04828125,0.04671875,0.03109375,0.0530208333,0.03109375,0.04140625,0.04234375,0.04203125,0.038984375
0.055625,0.0478125,0.04671875,0.04671875,0.0465736916,0.0530208333,0.04796875,0.04203125,0.03109375,0.019375,0.038984375
0.055625,0.0603125,0.04671875,0.03109375,0.04953125,0.0530208333,0.04796875,0.03890625,0.03109375,0.02484375,0.038984375
0.055625,0.0603125,0.04671875,0.04671875,0.03109375,0.0467708333,0.04796875,0.03890625,0.03109375,0.02484375,0.038984375
0.055625,0.0603125,0.04671875,0.03109375,0.04953125,0.0467708333,0.04796875,0.04203125,0.048125,0.02015625,0.038203125
0.06046875,0.0603125,0.04671875,0.04671875,0.03109375,0.0530208333,0.04796875,0.04203125,0.04359375,0.01546875,0.038203125
0.04671875,0.0603125,0.04671875,0.03578125,0.03109375,0.0446875,0.04046875,0.04203125,0.04359375,0.02484375,0.038203125
0.04671875,0.0561458333,0.04671875,0.03578125,0.04953125,0.0446875,0.04046875,0.03109375,0.04359375,0.03890625,0.038203125
0.05609375,0.0561458333,0.04203125,0.0437023118,0.03109375,0.0512750891,0.03734375,0.03109375,0.04359375,0.04203125,0.031171875
0.05609375,0.0415625,0.04203125,0.04046875,0.03109375,0.0514708642,0.03734375,0.04203125,0.03109375,0.02171875,0.031171875
0.03734375,0.0415625,0.04984375,0.03109375,0.03109375,0.0446875,0.04046875,0.04203125,0.03109375,0.04203125,0.031171875
0.03734375,0.0561458333,0.04984375,0.02640625,0.03109375,0.0446875,0.04046875,0.04203125,0.03109375,0.04203125,0.023359375
0.05609375,0.0561458333,0.02953125,0.04046875,0.03109375,0.0446875,0.03109375,0.0390625,0.03109375,0.04203125,0.023359375
0.04046875,0.0561458333,0.04984375,0.04046875,0.04046875,0.0446875,0.04046875,0.0390625,0.03890625,0.01546875,0.035078125
0.04046875,0.0561458333,0.04984375,0.02640625,0.04046875,0.0415625,0.04046875,0.04203125,0.03109375,0.04203125,0.027265625
0.05609375,0.0373958333,0.04984375,0.02640625,0.03109375,0.0415625,0.04046875,0.03578125,0.03109375,0.04203125,0.027265625
0.05609375,0.0373958333,0.04984375,0.04046875,0.04046875,0.0415625,0.04046875,0.03578125,0.03109375,0.02328125,0.027265625
0.03890625,0.0373958333,0.04203125,0.04046875,0.03890625,0.043125,0.04046875,0.04203125,0.03109375,0.02328125,0.035078125
0.05609375,0.0561458333,0.04203125,0.02328125,0.03890625,0.043125,0.04046875,0.04203125,0.03109375,0.04203125,0.027265625
0.05609375,0.0561458333,0.04984375,0.02328125,0.03890625,0.043125,0.03109375,0.03421875,0.03109375,0.04203125,0.027265625
0.05609375,0.0561458333,0.04984375,0.04046875,0.03109375,0.0415625,0.04046875,0.03421875,0.03890625,0.01703125,0.035078125
0.05609375,0.0561458333,0.04984375,0.04046875,0.04046875,0.0446875,0.04046875,0.04203125,0.02796875,0.01703125,0.035078125
0.05609375,0.0519791667,0.04984375,0.02328125,0.04046875,0.0415625,0.04046875,0.03734375,0.03421875,0.04203125,0.027265625
0.05609375,0.0519791667,0.04984375,0.04046875,0.02640625,0.0415625,0.03890625,0.03734375,0.03421875,0.04203125,0.027265625
0.02640625,0.0519791667,0.04984375,0.04046875,0.02640625,0.0415625,0.03890625,0.03734375,0.03421875,0.02484375,0.035078125
0.05609375,0.0519791667,0.02453125,0.0371875,0.04046875,0.0446875,0.03890625,0.03734375,0.03890625,0.02484375,0.035078125
0.03109375,0.0519791667,0.04984375,0.0371875,0.03265625,0.04125,0.0396875,0.01765625,0.02796875,0.02484375,0.030390625
0.05609375,0.0446875,0.04984375,0.0371875,0.03265625,0.0396875,0.0396875,0.03734375,0.02796875,0.01546875,0.030390625
0.03109375,0.0519791667,0.04984375,0.0371875,0.03265625,0.0396875,0.0396875,0.03734375,0.02796875,0.04203125,0.030390625
0.03109375,0.0519791667,0.04046875,0.0371875,0.03265625,0.0396875,0.0396875,0.02328125,0.02796875,0.04203125,0.023359375
0.05609375,0.0519791667,0.04046875,0.04046875,0.02171875,0.0396875,0.04046875,0.02328125,0.03890625,0.04203125,0.030390625
